alpha,mi_truth,r2_truth,mi_cons,r2_cons,rmse,dispersion
0.0,0.8056308905192958,0.8003610713252373,0.06590702050141989,0.12348127941624248,0.500792194203963,1.0125381853456545
0.025,0.8054823132123696,0.8003019816548993,0.06910229394921484,0.12906427026207332,0.49036222110690947,0.9872247307120131
0.05,0.8050242945025087,0.8001191953671347,0.0725303516007669,0.1350144727467505,0.4811379929534577,0.9619112760783719
0.07500000000000001,0.8042146448548391,0.7997954772564982,0.07621381261898469,0.14136270070977044,0.473190028317123,0.9365978214447305
0.1,0.8030063237836169,0.7993112596412831,0.08017804109049692,0.14814278595308197,0.4665835528555802,0.911284366811089
0.125,0.8013470129882048,0.7986443091025002,0.08445154482923954,0.15539189203988407,0.46137619677765157,0.8859709121774476
0.15000000000000002,0.7991786943842882,0.7977693439976925,0.08906644151277886,0.16315085659670228,0.4576157256604965,0.8606574575438062
0.17500000000000002,0.7964372497460348,0.7966575958340338,0.09405900507229292,0.17146456226147605,0.45533798880793314,0.835344002910165
0.2,0.7930521042230909,0.7952763069133908,0.0994703080284389,0.18038233520192648,0.45456527583244,0.8100305482765235
0.225,0.7889459425653411,0.7935881560888955,0.1053469788932771,0.18995836831891838,0.4553052494697257,0.7847170936428822
0.25,0.7840345344295166,0.7915506041053828,0.11174209801402803,0.20025216362591253,0.4575505706016049,0.7594036390092409
0.275,0.778226713476035,0.7891151499971174,0.11871626053795592,0.21132898456019678,0.46127925748088594,0.7340901843755995
0.30000000000000004,0.7714245637308724,0.7862264906262393,0.1263388418146335,0.22326030374046119,0.46645573891579345,0.7087767297419582
0.325,0.7635238752895063,0.7828215770152991,0.13468950889523312,0.23612422442292058,0.47303248684835414,0.6834632751083168
0.35000000000000003,0.7544149390004525,0.7788285641605801,0.14386003232996158,0.2500058439593669,0.48095206114694633,0.6581498204746753
0.375,0.7439837551062647,0.7741656562212884,0.15395646585948916,0.2649975140826896,0.49014937609891096,0.6328363658410341
0.4,0.7321137324860724,0.7687398573524284,0.16510177872867832,0.28119893479798597,0.5005540039994743,0.6075229112073927
0.42500000000000004,0.7186879515023907,0.7624456513365122,0.17743904743384217,0.2987169948014366,0.5120923600394344,0.5822094565737512
0.45,0.7035920528776756,0.7551636523727908,0.19113534244179242,0.31766524028976073,0.5246896547128672,0.55689600194011
0.47500000000000003,0.686717796165955,0.7467592972376498,0.2063864832063513,0.33816281433439177,0.538271545389273,0.5315825473064685
0.5,0.667967303515327,0.7370816884442127,0.22342288518762143,0.3603326594896521,0.5527654598922609,0.5062690926728273
0.525,0.647257967761502,0.7259627524153182,0.2425167908533045,0.3842987165472672,0.5681015974147118,0.48095563803918584
0.55,0.6245279598246335,0.7132169496670931,0.26399127100034475,0.41018178354803897,0.5842136343680195,0.4556421834055445
0.5750000000000001,0.5997422213466456,0.6986418687161077,0.28823151621134097,0.4380936256201554,0.6010391754610768,0.4303287287719031
0.6000000000000001,0.5728987775339202,0.6820201531209972,0.315699132215994,0.46812885755161954,0.618519995277008,0.4050152741382617
0.625,0.5440351549427341,0.663123348634873,0.34695044342745895,0.5003540752829112,0.6366021150900357,0.37970181950462045
0.65,0.5132346405704644,0.6417184034036919,0.38266025864381653,0.5347937201865962,0.655235755722963,0.3543883648709791
0.675,0.4806320705062497,0.6175776828398937,0.42365327398756425,0.5714122680842127,0.674375201560434,0.32907491023733765
0.7000000000000001,0.4464187838986031,0.5904934249712722,0.47094648738877376,0.6100926095205881,0.6939786046000319,0.3037614556036962
0.7250000000000001,0.4108463145773266,0.5602974854260443,0.5258080703521276,0.650611011321885,0.7140077514051492,0.2784480009700549
0.75,0.37422831332781725,0.5268868951554626,0.58984186610946,0.6926099065776914,0.7344278104427726,0.25313454633641364
0.775,0.3369401010208938,0.4902550464094687,0.6651136724533321,0.7355710039205574,0.7552070727277327,0.22782109170277226
0.8,0.2994151641450028,0.4505271107653525,0.7543492527209293,0.7787927977359074,0.7763166949804153,0.20250763706913086
0.8250000000000001,0.2621378596001537,0.4079965338516036,0.8612628693589229,0.8213782803020396,0.7977304515773092,0.17719418243548948
0.8500000000000001,0.22563165907682506,0.3631572899797075,0.9911401593172733,0.8622400209402582,0.8194244993306327,0.15188072780184808
0.875,0.19044251438173146,0.3167244719256589,1.1519604140881103,0.9001300120224316,0.8413771574590532,0.12656727316820682
0.9,0.15711743215440485,0.26963456224328525,1.356797337897944,0.9336998579401795,0.863568703894249,0.10125381853456543
0.925,0.12617912347632587,0.22301745405367202,1.6297626995799683,0.9615922968439181,0.8859811882079709,0.07594036390092404
0.9500000000000001,0.09809855162289224,0.17813586738271753,2.024444264320609,0.9825578105232741,0.9085982608569757,0.05062690926728266
0.9750000000000001,0.07326812170142338,0.13629433234454572,2.711007927773606,0.9955816680833209,0.9314050180599909,0.02531345463364127
1.0,0.051978825638272406,0.09872808444420057,13.815521618946677,0.999999999999,0.954387861387309,0.0
