t,cmd_thr,cmd_r,cmd_p,cmd_y,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wr,wp,wy
0.0002,0.0,0.0,0.0,0.0,-0.00046874998952262104,9.765624781721272e-06,0.020537108182907104,0.0,0.0,0.0,0.0002312406140845269,-0.1547318696975708,2.0435487385839224e-05,-0.9879565238952637,0.0,0.0,-0.0
0.0106,0.0,0.0,0.0,0.0,-0.00046874998952262104,9.765624781721272e-06,0.020537108182907104,0.0,0.0,0.0,0.0002312406140845269,-0.1547318696975708,2.0435487385839224e-05,-0.9879565238952637,0.0,0.0,-0.0
0.0211,0.0,0.0,0.0,0.0,-0.00046874998952262104,9.765624781721272e-06,0.020537108182907104,0.0,0.0,0.0,0.0002312406140845269,-0.1547318696975708,2.0435487385839224e-05,-0.9879565238952637,0.0,0.0,-0.0
0.0315,0.0,0.0,0.0,0.0,-0.00046874998952262104,9.765624781721272e-06,0.020537108182907104,0.0,0.0,0.0,0.0002312406140845269,-0.1547318696975708,2.0435487385839224e-05,-0.9879565238952637,0.0,0.0,-0.0
0.0418,0.0,0.0,0.0,0.0,-0.00046874998952262104,9.765624781721272e-06,0.020537108182907104,0.0,0.0,0.0,0.0002312406140845269,-0.1547318696975708,2.0435487385839224e-05,-0.9879565238952637,0.0,0.0,-0.0
0.0519,0.0,0.0,0.0,0.0,-0.00046874998952262104,9.765624781721272e-06,0.020537108182907104,0.0,0.0,0.0,0.0002312406140845269,-0.1547318696975708,2.0435487385839224e-05,-0.9879565238952637,0.0,0.0,-0.0
0.062,0.0,0.0,0.0,0.0,-0.00046874998952262104,9.765624781721272e-06,0.020537108182907104,0.0,0.0,0.0,0.0002312406140845269,-0.1547318696975708,2.0435487385839224e-05,-0.9879565238952637,0.0,0.0,-0.0
0.072,0.0,0.0,0.0,0.0,-0.00046874998952262104,9.765624781721272e-06,0.020537108182907104,0.0,0.0,0.0,0.0002312406140845269,-0.1547318696975708,2.0435487385839224e-05,-0.9879565238952637,0.0,0.0,-0.0
0.0821,0.0,0.0,0.0,0.0,-0.00046874998952262104,9.765624781721272e-06,0.020537108182907104,0.0,0.0,0.0,0.0002312406140845269,-0.1547318696975708,2.0435487385839224e-05,-0.9879565238952637,0.0,0.0,-0.0
0.0922,0.0,0.0,0.0,0.0,-0.00046874998952262104,9.765624781721272e-06,0.020537108182907104,0.0,0.0,0.0,0.0002312406140845269,-0.1547318696975708,2.0435487385839224e-05,-0.9879565238952637,0.0,0.0,-0.0
0.1023,0.0,0.0,0.0,0.0,-0.00046874998952262104,9.765624781721272e-06,0.020537108182907104,0.0,0.0,0.0,0.0002312406140845269,-0.1547318696975708,2.0435487385839224e-05,-0.9879565238952637,0.0,0.0,-0.0
0.1123,0.0,0.0,0.0,0.0,-0.00046874998952262104,9.765624781721272e-06,0.020537108182907104,0.0,0.0,0.0,0.0002312406140845269,-0.1547318696975708,2.0435487385839224e-05,-0.9879565238952637,0.0,0.0,-0.0
0.1224,0.0,0.0,0.0,0.0,-0.00046874998952262104,9.765624781721272e-06,0.020537108182907104,0.0,0.0,0.0,0.0002312406140845269,-0.1547318696975708,2.0435487385839224e-05,-0.9879565238952637,0.0,0.0,-0.0
0.1326,0.0,0.0,0.0,0.0,-0.00046874998952262104,9.765624781721272e-06,0.020537108182907104,0.0,0.0,0.0,0.0002312406140845269,-0.1547318696975708,2.0435487385839224e-05,-0.9879565238952637,0.0,0.0,-0.0
0.1427,0.0,0.0,0.0,0.0,-0.00046874998952262104,9.765624781721272e-06,0.020537108182907104,0.0,0.0,0.0,0.0002312406140845269,-0.1547318696975708,2.0435487385839224e-05,-0.9879565238952637,0.0,0.0,-0.0
0.1528,0.0,0.0,0.0,0.0,-0.00046874998952262104,9.765624781721272e-06,0.020537108182907104,0.0,0.0,0.0,0.0002312406140845269,-0.1547318696975708,2.0435487385839224e-05,-0.9879565238952637,0.0,0.0,-0.0
0.1629,0.0,0.0,0.0,0.0,-0.00046874998952262104,9.765624781721272e-06,0.020537108182907104,0.0,0.0,0.0,0.0002312406140845269,-0.1547318696975708,2.0435487385839224e-05,-0.9879565238952637,0.0,0.0,-0.0
0.1731,0.0,0.0,0.0,0.0,-0.00046874998952262104,9.765624781721272e-06,0.020537108182907104,0.0,0.0,0.0,0.0002312406140845269,-0.1547318696975708,2.0435487385839224e-05,-0.9879565238952637,0.0,0.0,-0.0
0.1832,0.0,0.0,0.0,0.0,-0.00046874998952262104,9.765624781721272e-06,0.020537108182907104,0.0,0.0,0.0,0.0002312406140845269,-0.1547318696975708,2.0435487385839224e-05,-0.9879565238952637,0.0,0.0,-0.0
0.1933,0.0,0.0,0.0,0.0,-0.00046874998952262104,9.765624781721272e-06,0.020537108182907104,0.0,0.0,0.0,0.0002312406140845269,-0.1547318696975708,2.0435487385839224e-05,-0.9879565238952637,0.0,0.0,-0.0
0.2034,0.0,0.0,0.0,0.0,-0.00046874998952262104,9.765624781721272e-06,0.020537108182907104,0.0,0.0,0.0,0.0002312406140845269,-0.1547318696975708,2.0435487385839224e-05,-0.9879565238952637,0.0,0.0,-0.0
0.2135,0.0,0.0,0.0,0.0,-0.00046874998952262104,9.765624781721272e-06,0.020537108182907104,0.0,0.0,0.0,0.0002312406140845269,-0.1547318696975708,2.0435487385839224e-05,-0.9879565238952637,0.0,0.0,-0.0
0.2236,0.0,0.0,0.0,0.0,-0.00046874998952262104,9.765624781721272e-06,0.020537108182907104,0.0,0.0,0.0,0.0002312406140845269,-0.1547318696975708,2.0435487385839224e-05,-0.9879565238952637,0.0,0.0,-0.0
