step,kf_reg,h_cv,h_build,h_neutral,h_dissolve,h_total,avg_cos_b,avg_cos_d,h_build_ids,h_dissolve_ids,l_cv,l_build,l_neutral,l_dissolve,l_total,l_avg_cos_b,l_avg_cos_d
1650,33,3.127803e-02,4,0,8,12,0.000002,-0.000003,2;4;6;11,0;1;3;5;7;8;9;10,1.738781e-02,5,0,7,12,0.000034,-0.000002
1700,34,3.119496e-02,5,0,7,12,0.000001,-0.000002,0;1;2;7;11,3;4;5;6;8;9;10,1.624668e-02,5,0,7,12,0.000005,-0.000017
1750,35,3.365477e-02,6,0,6,12,0.000001,-0.000003,1;2;3;5;6;9,0;4;7;8;10;11,1.539369e-02,5,0,7,12,0.000010,-0.000008
1800,36,3.331426e-02,5,0,7,12,0.000001,-0.000002,1;5;6;7;11,0;2;3;4;8;9;10,1.604553e-02,4,0,8,12,0.000043,-0.000014
1850,37,3.805805e-02,9,0,3,12,0.000002,-0.000001,0;1;2;4;7;8;9;10;11,3;5;6,1.305818e-02,6,0,6,12,0.000016,-0.000003
1900,38,4.345852e-02,4,0,8,12,0.000001,-0.000002,0;2;4;8,1;3;5;6;7;9;10;11,1.354823e-02,5,0,7,12,0.000005,-0.000060
1950,39,3.729015e-02,4,0,8,12,0.000000,-0.000002,0;1;8;10,2;3;4;5;6;7;9;11,1.416382e-02,6,0,6,12,0.000010,-0.000029
2000,40,3.378584e-02,4,0,8,12,0.000002,-0.000003,0;5;6;8,1;2;3;4;7;9;10;11,1.637973e-02,6,0,6,12,0.000009,-0.000012
2050,41,2.959178e-02,6,0,6,12,0.000002,-0.000001,2;5;6;9;10;11,0;1;3;4;7;8,1.955718e-02,5,0,7,12,0.000005,-0.000034
2100,42,2.919148e-02,4,0,8,12,0.000004,-0.000001,1;6;10;11,0;2;3;4;5;7;8;9,1.872067e-02,4,0,8,12,0.000005,-0.000014
2150,43,3.136765e-02,5,0,7,12,0.000003,-0.000001,0;1;8;9;10,2;3;4;5;6;7;11,1.448734e-02,7,0,5,12,0.000002,-0.000012
2200,44,2.941140e-02,7,0,5,12,0.000004,-0.000001,0;4;5;6;9;10;11,1;2;3;7;8,1.435110e-02,5,0,7,12,0.000002,-0.000034
2250,45,3.073830e-02,5,0,7,12,0.000000,-0.000002,3;6;7;8;10,0;1;2;4;5;9;11,1.381468e-02,7,0,5,12,0.000007,-0.000016
2300,46,2.843532e-02,7,0,5,12,0.000003,-0.000001,0;1;5;7;8;9;11,2;3;4;6;10,1.553622e-02,2,0,10,12,0.000000,-0.000022
2350,47,3.151772e-02,5,0,7,12,0.000003,-0.000001,3;5;7;9;11,0;1;2;4;6;8;10,1.152963e-02,5,0,7,12,0.000017,-0.000006
2400,48,3.029761e-02,7,0,5,12,0.000002,-0.000001,0;1;3;5;7;8;9,2;4;6;10;11,9.748004e-03,8,0,4,12,0.000007,-0.000034
2450,49,3.103412e-02,8,0,4,12,0.000001,-0.000002,0;2;3;4;5;6;8;11,1;7;9;10,1.215250e-02,7,0,5,12,0.000029,-0.000006
2500,50,3.422050e-02,4,0,8,12,0.000003,-0.000001,3;7;8;10,0;1;2;4;5;6;9;11,1.451649e-02,4,0,8,12,0.000007,-0.000004
2550,51,2.989833e-02,4,0,8,12,0.000001,-0.000002,0;3;5;11,1;2;4;6;7;8;9;10,1.436332e-02,6,0,6,12,0.000008,-0.000007
2600,52,3.017836e-02,7,0,5,12,0.000005,-0.000001,1;2;3;4;9;10;11,0;5;6;7;8,1.413914e-02,8,0,4,12,0.000019,-0.000017
2650,53,3.140222e-02,2,0,10,12,0.000002,-0.000001,9;10,0;1;2;3;4;5;6;7;8;11,1.668347e-02,8,0,4,12,0.000012,-0.000010
2700,54,2.397463e-02,5,0,7,12,0.000001,-0.000002,0;3;6;7;10,1;2;4;5;8;9;11,1.904148e-02,7,0,5,12,0.000004,-0.000033
2750,55,2.261564e-02,5,0,7,12,0.000001,-0.000001,1;3;5;6;8,0;2;4;7;9;10;11,1.971805e-02,6,0,6,12,0.000010,-0.000006
2800,56,2.211553e-02,6,0,6,12,0.000006,-0.000002,0;1;2;7;9;11,3;4;5;6;8;10,2.063334e-02,7,0,5,12,0.000011,-0.000009
2850,57,2.340486e-02,5,0,7,12,0.000001,-0.000002,0;1;7;8;10,2;3;4;5;6;9;11,2.270187e-02,4,0,8,12,0.000005,-0.000005
2900,58,2.257017e-02,5,0,7,12,0.000002,-0.000001,4;5;8;10;11,0;1;2;3;6;7;9,2.232494e-02,8,0,4,12,0.000023,-0.000006
2950,59,2.169713e-02,5,0,7,12,0.000001,-0.000002,2;3;8;10;11,0;1;4;5;6;7;9,2.686556e-02,6,0,6,12,0.000034,-0.000008
